RuntimeLogger 2025-07-23 14:56:04,976 INFO (stateListener|15) [Env$5.runOneCycle():2861] begin to transfer FE type from INIT to MASTER
RuntimeLogger 2025-07-23 14:56:04,983 INFO (stateListener|15) [BDBHA.fencing():79] start fencing, epoch number is 1
RuntimeLogger 2025-07-23 14:56:04,996 INFO (stateListener|15) [Env.transferToMaster():1589] finish replay in 4 msec
RuntimeLogger 2025-07-23 14:56:05,057 INFO (stateListener|15) [Env.advanceNextId():1751] advance the next id from 10000 to 1753282565056
RuntimeLogger 2025-07-23 14:56:05,149 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|15) [Env.waitForReady():1137] wait catalog to be ready. feType:INIT isReady:false, counter:1 reason: 
RuntimeLogger 2025-07-23 14:56:05,335 INFO (stateListener|15) [Env.initLowerCaseTableNames():1971] Finish initializing lower_case_table_names, value is 0
RuntimeLogger 2025-07-23 14:56:10,369 INFO (stateListener|15) [PolicyMgr.createDefaultStoragePolicy():117] Create default storage success.
RuntimeLogger 2025-07-23 14:56:10,375 INFO (stateListener|15) [Env.transferToMaster():1689] logMasterInfo:MasterInfo: host=172.20.80.2 httpPort=8030 rpcPort=9020
RuntimeLogger 2025-07-23 14:56:10,376 INFO (stateListener|15) [PrivTable.addEntry():89] add priv entry: database privilege.ctl: internal, db: mysql, priv: Select_priv
RuntimeLogger 2025-07-23 14:56:10,377 INFO (stateListener|15) [PrivTable.addEntry():89] add priv entry: database privilege.ctl: internal, db: information_schema, priv: Select_priv
RuntimeLogger 2025-07-23 14:56:10,377 INFO (stateListener|15) [PrivTable.addEntry():89] add priv entry: origWorkloadGroup:normal, priv:Usage_priv
RuntimeLogger 2025-07-23 14:56:10,378 INFO (stateListener|15) [PrivTable.addEntry():89] add priv entry: Admin_priv
RuntimeLogger 2025-07-23 14:56:10,379 INFO (stateListener|15) [PrivTable.addEntry():89] add priv entry: database privilege.ctl: internal, db: mysql, priv: Select_priv
RuntimeLogger 2025-07-23 14:56:10,380 INFO (stateListener|15) [PrivTable.addEntry():89] add priv entry: database privilege.ctl: internal, db: information_schema, priv: Select_priv
RuntimeLogger 2025-07-23 14:56:10,380 INFO (stateListener|15) [PrivTable.addEntry():89] add priv entry: origWorkloadGroup:normal, priv:Usage_priv
RuntimeLogger 2025-07-23 14:56:10,381 INFO (stateListener|15) [PrivTable.addEntry():89] add priv entry: Node_priv,Admin_priv
RuntimeLogger 2025-07-23 14:56:10,384 INFO (stateListener|15) [InsertOverwriteManager.allTaskFail():239] try drop all temp partitions when transferToMaster
RuntimeLogger 2025-07-23 14:56:10,386 INFO (stateListener|15) [Env.startMasterOnlyDaemonThreads():1805] checkpointer thread started. thread id is 86
RuntimeLogger 2025-07-23 14:56:10,708 INFO (stateListener|15) [JobScheduler.executeTimerJobIdsWithinLastTenMinutesWindow():201] execute timer job ids within last ten minutes window, last time window is 2025-07-23 14:56:10
RuntimeLogger 2025-07-23 14:56:10,709 INFO (stateListener|15) [JobScheduler.cycleSystemSchedulerTasks():98] re-register system scheduler timer tasks, time is 2025-07-23 14:56:10.708
RuntimeLogger 2025-07-23 14:56:10,791 WARN (InternalSchemaInitializer|15) [InternalSchemaInitializer.run():79] FE is not ready
RuntimeLogger 2025-07-23 14:56:10,908 INFO (stateListener|15) [Env.checkLowerCaseTableNames():1993] lower_case_table_names is 0
RuntimeLogger 2025-07-23 14:56:10,910 INFO (stateListener|15) [LogUtils.stdout():50] StdoutLogger 2025-07-23 14:56:10,909 master finished to replay journal, can write now.
RuntimeLogger 2025-07-23 14:56:10,911 INFO (stateListener|15) [Env.transferToMaster():1714] master finished to replay journal, can write now.
RuntimeLogger 2025-07-23 14:56:10,949 INFO (stateListener|15) [Env$5.runOneCycle():2948] finished to transfer FE type to MASTER
RuntimeLogger 2025-07-23 14:56:10,965 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|15) [Env.waitForReady():1130] catalog is ready. FE type: MASTER
RuntimeLogger 2025-07-23 14:56:10,966 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:10,983 INFO (stream_load_record_manager|15) [StreamLoadRecordMgr.runAfterCatalogReady():350] finished to pull stream load records of all backends. record size: 0, cost: 0 ms
RuntimeLogger 2025-07-23 14:56:10,997 INFO (tablet_load_index_recorder|15) [TabletLoadIndexRecorderMgr.runAfterCatalogReady():56] Remove expired load tablet index record successfully, before 0, current 0
RuntimeLogger 2025-07-23 14:56:10,998 INFO (InsertOverwriteDropDirtyPartitions|15) [InsertOverwriteManager.runAfterCatalogReady():368] start clean insert overwrite temp partitions
RuntimeLogger 2025-07-23 14:56:11,002 INFO (leaderCheckpointer|15) [Checkpoint.doCheckpoint():95] Http server is not ready.
RuntimeLogger 2025-07-23 14:56:11,003 INFO (TopicPublisher|15) [TopicPublisherThread.runAfterCatalogReady():67] [topic_publish]begin publish topic info
RuntimeLogger 2025-07-23 14:56:11,004 INFO (Automatic Analyzer|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,005 INFO (Automatic Analyzer|15) [StatisticsAutoCollector.runAfterCatalogReady():74] Stats table not available, skip
RuntimeLogger 2025-07-23 14:56:11,011 INFO (binlog-gcer|15) [BinlogManager.gc():608] begin gc binlog
RuntimeLogger 2025-07-23 14:56:11,018 INFO (Statistics Job Appender|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,018 WARN (Statistics Table Cleaner|15) [StatisticsCleaner.init():172] Failed to init stats cleaner
java.lang.RuntimeException: Table: `internal.__internal_schema.column_statistics` not exists
	at org.apache.doris.statistics.util.StatisticsUtil.findTable(StatisticsUtil.java:420) ~[doris-fe.jar:1.2-SNAPSHOT]
	at org.apache.doris.statistics.StatisticsCleaner.init(StatisticsCleaner.java:167) ~[doris-fe.jar:1.2-SNAPSHOT]
	at org.apache.doris.statistics.StatisticsCleaner.clear(StatisticsCleaner.java:82) ~[doris-fe.jar:1.2-SNAPSHOT]
	at org.apache.doris.statistics.StatisticsCleaner.runAfterCatalogReady(StatisticsCleaner.java:76) ~[doris-fe.jar:1.2-SNAPSHOT]
	at org.apache.doris.common.util.MasterDaemon.runOneCycle(MasterDaemon.java:58) ~[doris-fe.jar:1.2-SNAPSHOT]
	at org.apache.doris.common.util.Daemon.run(Daemon.java:119) ~[doris-fe.jar:1.2-SNAPSHOT]
RuntimeLogger 2025-07-23 14:56:11,018 INFO (Statistics Job Appender|15) [StatisticsJobAppender.runAfterCatalogReady():71] Stats table not available, skip
RuntimeLogger 2025-07-23 14:56:11,016 INFO (binlog-gcer|15) [BinlogManager.gc():619] gc binlog, dbBinlogMap is null
RuntimeLogger 2025-07-23 14:56:11,019 INFO (binlog-gcer|15) [BinlogGcer.runAfterCatalogReady():63] no gc binlog
RuntimeLogger 2025-07-23 14:56:11,037 INFO (LoadLabelCleaner|15) [LoadManager.removeLoadJobIf():488] end to removeOldLoadJob, removeJobNum:0 cost:0 ms
RuntimeLogger 2025-07-23 14:56:11,053 INFO (recycle bin|15) [CatalogRecycleBin.erasePartition():522] erasePartition eraseNum: 0 cost: 28ms
RuntimeLogger 2025-07-23 14:56:11,054 INFO (recycle bin|15) [CatalogRecycleBin.eraseTable():403] eraseTable eraseNum: 0 cost: 0ms
RuntimeLogger 2025-07-23 14:56:11,062 INFO (recycle bin|15) [CatalogRecycleBin.eraseDatabase():270] eraseDatabase eraseNum: 0 cost: 1ms
RuntimeLogger 2025-07-23 14:56:11,068 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,087 INFO (colocate group clone checker|15) [ColocateTableCheckerAndBalancer.matchGroups():594] finished to check tablets. unhealth/total/added/in_sched/not_ready/exceed_limit: 0/0/0/0/0/0, cost: 0 ms
RuntimeLogger 2025-07-23 14:56:11,104 INFO (tablet checker|15) [TabletChecker.checkTablets():351] finished to check tablets. unhealth/total/added/in_sched/not_ready/exceed_limit: 0/0/0/0/0/0,cost: 100 ms
RuntimeLogger 2025-07-23 14:56:11,123 INFO (tablet stat mgr|15) [TabletStatMgr.runAfterCatalogReady():241] finished to update index row num of all databases. cost: 0 ms
RuntimeLogger 2025-07-23 14:56:11,139 INFO (TopicPublisher|15) [TopicPublisherThread.runAfterCatalogReady():90] no alive backend, skip publish topic
RuntimeLogger 2025-07-23 14:56:11,169 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,270 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,371 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,472 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,573 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,674 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,779 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,880 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:11,980 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:12,020 INFO (Statistics Job Appender|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:12,020 INFO (Statistics Job Appender|15) [StatisticsJobAppender.runAfterCatalogReady():71] Stats table not available, skip
RuntimeLogger 2025-07-23 14:56:12,082 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:12,082 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|15) [FeServer.start():80] thrift server started.
RuntimeLogger 2025-07-23 14:56:12,183 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:12,284 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:12,385 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:12,486 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:12,524 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|15) [RestartApplicationListener.onApplicationStartingEvent():101] Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
RuntimeLogger 2025-07-23 14:56:12,587 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:13,591 INFO (STATS_FETCH-0|15) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:13,693 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:13,798 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:13,856 INFO (background-preinit|171) [Version.<clinit>():21] HV000001: Hibernate Validator 6.2.5.Final
RuntimeLogger 2025-07-23 14:56:13,899 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,000 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,022 INFO (Statistics Job Appender|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,022 INFO (Statistics Job Appender|171) [StatisticsJobAppender.runAfterCatalogReady():71] Stats table not available, skip
RuntimeLogger 2025-07-23 14:56:14,102 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,203 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,304 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,405 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,408 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():201] 
RuntimeLogger 2025-07-23 14:56:14,409 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():202] 
RuntimeLogger 2025-07-23 14:56:14,475 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]                                                                               
RuntimeLogger 2025-07-23 14:56:14,498 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]         @@@@@@                                                                
RuntimeLogger 2025-07-23 14:56:14,506 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,518 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]         @@@@@@@@                                                              
RuntimeLogger 2025-07-23 14:56:14,535 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]         @@@@@@@@@                                                             
RuntimeLogger 2025-07-23 14:56:14,557 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]      @@@  @@@@@@@  @           @@@@@        @@@@      @@@@@     @@     @@@@   
RuntimeLogger 2025-07-23 14:56:14,576 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]      @@@@@  @@@@  @@@@         @@   @@@   @@    @@@   @@   @@   @@   @@       
RuntimeLogger 2025-07-23 14:56:14,594 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]      @@@@@@@    @@@@@@@        @@    @@  @@       @   @@   @@   @@   @@@      
RuntimeLogger 2025-07-23 14:56:14,607 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,612 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]      @@@@@@@  @@@@@@@@@        @@     @  @@       @   @@ @@     @@       @@@  
RuntimeLogger 2025-07-23 14:56:14,626 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]      @@@@@  @@@@@@@@@@         @@   @@@   @@    @@@   @@  @@    @@        @@  
RuntimeLogger 2025-07-23 14:56:14,636 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]      @@@  @@@@@@@@@@           @@@@@        @@@@      @@    @@  @@    @@@@    
RuntimeLogger 2025-07-23 14:56:14,645 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]         @@@@@@@@@@                                                            
RuntimeLogger 2025-07-23 14:56:14,654 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]         @@@@@@@@                                                              
RuntimeLogger 2025-07-23 14:56:14,662 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]         @@@@@@@                                                               
RuntimeLogger 2025-07-23 14:56:14,670 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():218]                                                                               
RuntimeLogger 2025-07-23 14:56:14,673 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [ImageBanner.printBanner():222] 
RuntimeLogger 2025-07-23 14:56:14,708 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,809 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,910 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:14,973 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [StartupInfoLogger.logStarting():55] Starting DorisFE v1.2-SNAPSHOT using Java 17.0.2 on fe-01 with PID 533 (/opt/apache-doris/fe/lib/doris-fe.jar started by root in /opt/apache-doris)
RuntimeLogger 2025-07-23 14:56:14,986 INFO (MASTER fe_03ca86f2_d268_4f36_8dc5_174e6ac54983(1)|171) [SpringApplication.logStartupProfileInfo():632] No active profile set, falling back to 1 default profile: "default"
RuntimeLogger 2025-07-23 14:56:15,011 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:15,023 INFO (Statistics Job Appender|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:15,024 INFO (Statistics Job Appender|171) [StatisticsJobAppender.runAfterCatalogReady():71] Stats table not available, skip
RuntimeLogger 2025-07-23 14:56:15,114 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
RuntimeLogger 2025-07-23 14:56:15,215 INFO (STATS_FETCH-0|171) [StatisticsUtil.statsTblAvailable():488] stat table does not exist, db_name: __internal_schema, table_name: column_statistics
